"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.77565,-2.1802e-22,3.7192e-05,7.8092e+06,1,0.076,50,0.05,0.076
0.77554,-2.3048e-22,3.7682e-05,7.8092e+06,1,0.077,50,0.05,0.077
0.77543,-2.4294e-22,3.8172e-05,7.8092e+06,1,0.078,50,0.05,0.078
0.77529,-2.3048e-22,3.8663e-05,7.8092e+06,1,0.079,50,0.05,0.079
0.77515,-2.1802e-22,3.9154e-05,7.8092e+06,1,0.08,50,0.05,0.08
0.77501,-2.0557e-22,3.9645e-05,7.8092e+06,1,0.081,50,0.05,0.081
0.77487,-1.9311e-22,4.0136e-05,7.8092e+06,1,0.082,50,0.05,0.082
0.77473,-1.8065e-22,4.0628e-05,7.8092e+06,1,0.083,50,0.05,0.083
0.77459,-1.6819e-22,4.1119e-05,7.8092e+06,1,0.084,50,0.05,0.084
0.77445,-1.5573e-22,4.161e-05,7.8092e+06,1,0.085,50,0.05,0.085
0.77431,-1.4327e-22,4.2101e-05,7.8092e+06,1,0.086,50,0.05,0.086
0.77417,-1.3081e-22,4.2592e-05,7.8092e+06,1,0.087,50,0.05,0.087
0.77404,-1.1836e-22,4.3083e-05,7.8092e+06,1,0.088,50,0.05,0.088
0.7739,-1.059e-22,4.3574e-05,7.8092e+06,1,0.089,50,0.05,0.089
0.77376,-9.3439e-23,4.4065e-05,7.8092e+06,1,0.09,50,0.05,0.09
0.77362,-8.0981e-23,4.4556e-05,7.8092e+06,1,0.091,50,0.05,0.091
0.77348,-6.8522e-23,4.5047e-05,7.8092e+06,1,0.092,50,0.05,0.092
0.77334,-5.6063e-23,4.5538e-05,7.8092e+06,1,0.093,50,0.05,0.093
0.7732,-4.3605e-23,4.6029e-05,7.8092e+06,1,0.094,50,0.05,0.094
0.77306,-3.1146e-23,4.652e-05,7.8092e+06,1,0.095,50,0.05,0.095
0.77292,-1.8688e-23,4.7011e-05,7.8092e+06,1,0.096,50,0.05,0.096
0.77278,-6.2292e-24,4.7502e-05,7.8092e+06,1,0.097,50,0.05,0.097
0.77262,1.2617e-26,4.7994e-05,7.8092e+06,1,0.098,50,0.05,0.098
0.77245,3.7852e-26,4.8486e-05,7.8092e+06,1,0.099,50,0.05,0.099
0.77228,6.3086e-26,4.8978e-05,7.8092e+06,1,0.1,50,0.05,0.1
0.77211,8.8321e-26,4.947e-05,7.8092e+06,1,0.101,50,0.05,0.101
0.77194,1.1356e-25,4.9962e-05,7.8092e+06,1,0.102,50,0.05,0.102
0.77177,1.3879e-25,5.0455e-05,7.8092e+06,1,0.103,50,0.05,0.103
0.7716,1.6402e-25,5.0947e-05,7.8092e+06,1,0.104,50,0.05,0.104
0.77143,1.8926e-25,5.1439e-05,7.8092e+06,1,0.105,50,0.05,0.105
0.77126,2.1449e-25,5.1931e-05,7.8092e+06,1,0.106,50,0.05,0.106
0.77109,2.3973e-25,5.2423e-05,7.8092e+06,1,0.107,50,0.05,0.107
0.77091,2.6496e-25,5.2915e-05,7.8092e+06,1,0.108,50,0.05,0.108
0.77074,2.902e-25,5.3408e-05,7.8092e+06,1,0.109,50,0.05,0.109
0.77057,3.1543e-25,5.39e-05,7.8092e+06,1,0.11,50,0.05,0.11
0.7704,3.4067e-25,5.4392e-05,7.8092e+06,1,0.111,50,0.05,0.111
0.77023,3.659e-25,5.4884e-05,7.8092e+06,1,0.112,50,0.05,0.112
0.77006,3.9113e-25,5.5376e-05,7.8092e+06,1,0.113,50,0.05,0.113
0.76989,4.1637e-25,5.5868e-05,7.8092e+06,1,0.114,50,0.05,0.114
0.76972,4.416e-25,5.6361e-05,7.8092e+06,1,0.115,50,0.05,0.115
0.76955,4.6684e-25,5.6853e-05,7.8092e+06,1,0.116,50,0.05,0.116
0.76938,4.9207e-25,5.7345e-05,7.8092e+06,1,0.117,50,0.05,0.117
0.76918,4.6684e-25,5.7838e-05,7.8092e+06,1,0.118,50,0.05,0.118
0.76898,4.416e-25,5.8332e-05,7.8092e+06,1,0.119,50,0.05,0.119
0.76877,4.1637e-25,5.8825e-05,7.8092e+06,1,0.12,50,0.05,0.12
0.76857,3.9113e-25,5.9319e-05,7.8092e+06,1,0.121,50,0.05,0.121
0.76837,3.659e-25,5.9812e-05,7.8092e+06,1,0.122,50,0.05,0.122
0.76817,3.4067e-25,6.0306e-05,7.8092e+06,1,0.123,50,0.05,0.123
0.76797,3.1543e-25,6.0799e-05,7.8092e+06,1,0.124,50,0.05,0.124
0.76777,2.902e-25,6.1293e-05,7.8092e+06,1,0.125,50,0.05,0.125
0.76757,2.6496e-25,6.1786e-05,7.8092e+06,1,0.126,50,0.05,0.126
0.76736,2.3973e-25,6.228e-05,7.8092e+06,1,0.127,50,0.05,0.127
0.76716,2.1449e-25,6.2773e-05,7.8092e+06,1,0.128,50,0.05,0.128
0.76696,1.8926e-25,6.3267e-05,7.8092e+06,1,0.129,50,0.05,0.129
0.76676,1.6402e-25,6.376e-05,7.8092e+06,1,0.13,50,0.05,0.13
0.76656,1.3879e-25,6.4254e-05,7.8092e+06,1,0.131,50,0.05,0.131
0.76636,1.1356e-25,6.4747e-05,7.8092e+06,1,0.132,50,0.05,0.132
0.76615,8.8321e-26,6.5241e-05,7.8092e+06,1,0.133,50,0.05,0.133
0.76595,6.3086e-26,6.5734e-05,7.8092e+06,1,0.134,50,0.05,0.134
0.76575,3.7852e-26,6.6228e-05,7.8092e+06,1,0.135,50,0.05,0.135
0.76555,1.2617e-26,6.6721e-05,7.8092e+06,1,0.136,50,0.05,0.136
0.76533,-1.2618e-26,6.7216e-05,7.8092e+06,1,0.137,50,0.05,0.137
0.7651,-3.7854e-26,6.7711e-05,7.8092e+06,1,0.138,50,0.05,0.138
0.76487,-6.3089e-26,6.8206e-05,7.8092e+06,1,0.139,50,0.05,0.139
0.76464,-8.8325e-26,6.8701e-05,7.8092e+06,1,0.14,50,0.05,0.14
0.7644,-1.1356e-25,6.9196e-05,7.8092e+06,1,0.141,50,0.05,0.141
0.76417,-1.388e-25,6.9691e-05,7.8092e+06,1,0.142,50,0.05,0.142
0.76394,-1.6403e-25,7.0186e-05,7.8092e+06,1,0.143,50,0.05,0.143
0.76371,-1.8927e-25,7.0681e-05,7.8092e+06,1,0.144,50,0.05,0.144
0.76347,-2.145e-25,7.1176e-05,7.8092e+06,1,0.145,50,0.05,0.145
0.76324,-2.3974e-25,7.1671e-05,7.8092e+06,1,0.146,50,0.05,0.146
0.76301,-2.6498e-25,7.2167e-05,7.8092e+06,1,0.147,50,0.05,0.147
0.76278,-2.9021e-25,7.2662e-05,7.8092e+06,1,0.148,50,0.05,0.148
0.76255,-3.1545e-25,7.3157e-05,7.8092e+06,1,0.149,50,0.05,0.149
0.76231,-3.4068e-25,7.3652e-05,7.8092e+06,1,0.15,50,0.05,0.15
0.76208,-3.6592e-25,7.4147e-05,7.8092e+06,1,0.151,50,0.05,0.151
0.76185,-3.9115e-25,7.4642e-05,7.8092e+06,1,0.152,50,0.05,0.152
0.76162,-4.1639e-25,7.5137e-05,7.8092e+06,1,0.153,50,0.05,0.153
0.76138,-4.4163e-25,7.5632e-05,7.8092e+06,1,0.154,50,0.05,0.154
0.76115,-4.6686e-25,7.6127e-05,7.8092e+06,1,0.155,50,0.05,0.155
0.76092,-4.921e-25,7.6622e-05,7.8092e+06,1,0.156,50,0.05,0.156
0.76066,-2.5384e-23,7.7119e-05,7.8092e+06,1,0.157,50,0.05,0.157
0.76039,-5.0276e-23,7.7616e-05,7.8092e+06,1,0.158,50,0.05,0.158
0.76013,-7.5168e-23,7.8113e-05,7.8092e+06,1,0.159,50,0.05,0.159
0.75987,-1.0006e-22,7.861e-05,7.8092e+06,1,0.16,50,0.05,0.16
0.7596,-1.2495e-22,7.9107e-05,7.8092e+06,1,0.161,50,0.05,0.161
0.75934,-1.4984e-22,7.9603e-05,7.8092e+06,1,0.162,50,0.05,0.162
0.75908,-1.7474e-22,8.01e-05,7.8092e+06,1,0.163,50,0.05,0.163
0.75881,-1.9963e-22,8.0597e-05,7.8092e+06,1,0.164,50,0.05,0.164
0.75855,-2.2452e-22,8.1094e-05,7.8092e+06,1,0.165,50,0.05,0.165
0.75829,-2.4941e-22,8.1591e-05,7.8092e+06,1,0.166,50,0.05,0.166
0.75802,-2.743e-22,8.2088e-05,7.8092e+06,1,0.167,50,0.05,0.167
0.75776,-2.9919e-22,8.2585e-05,7.8092e+06,1,0.168,50,0.05,0.168
0.7575,-3.2409e-22,8.3082e-05,7.8092e+06,1,0.169,50,0.05,0.169
0.75723,-3.4898e-22,8.3578e-05,7.8092e+06,1,0.17,50,0.05,0.17
0.75697,-3.7387e-22,8.4075e-05,7.8092e+06,1,0.171,50,0.05,0.171
0.75671,-3.9876e-22,8.4572e-05,7.8092e+06,1,0.172,50,0.05,0.172
0.75645,-4.2365e-22,8.5069e-05,7.8092e+06,1,0.173,50,0.05,0.173
0.75618,-4.4855e-22,8.5566e-05,7.8092e+06,1,0.174,50,0.05,0.174
0.75592,-4.7344e-22,8.6063e-05,7.8092e+06,1,0.175,50,0.05,0.175
0.75564,-4.423e-22,8.6561e-05,7.8092e+06,1,0.176,50,0.05,0.176
0.75535,-3.5515e-22,8.706e-05,7.8092e+06,1,0.177,50,0.05,0.177
0.75505,-2.6799e-22,8.7558e-05,7.8092e+06,1,0.178,50,0.05,0.178
0.75476,-1.8083e-22,8.8057e-05,7.8092e+06,1,0.179,50,0.05,0.179
0.75446,-9.3666e-23,8.8556e-05,7.8092e+06,1,0.18,50,0.05,0.18
0.75417,-6.5075e-24,8.9055e-05,7.8092e+06,1,0.181,50,0.05,0.181
0.75388,8.0652e-23,8.9554e-05,7.8092e+06,1,0.182,50,0.05,0.182
0.75358,1.6781e-22,9.0053e-05,7.8092e+06,1,0.183,50,0.05,0.183
0.75329,2.5497e-22,9.0552e-05,7.8092e+06,1,0.184,50,0.05,0.184
0.75299,3.4213e-22,9.1051e-05,7.8092e+06,1,0.185,50,0.05,0.185
0.7527,4.2929e-22,9.155e-05,7.8092e+06,1,0.186,50,0.05,0.186
0.75241,5.1645e-22,9.2049e-05,7.8092e+06,1,0.187,50,0.05,0.187
0.75211,6.0361e-22,9.2547e-05,7.8092e+06,1,0.188,50,0.05,0.188
0.75182,6.9077e-22,9.3046e-05,7.8092e+06,1,0.189,50,0.05,0.189
0.75152,7.7793e-22,9.3545e-05,7.8092e+06,1,0.19,50,0.05,0.19
0.75123,8.6509e-22,9.4044e-05,7.8092e+06,1,0.191,50,0.05,0.191
0.75094,9.5225e-22,9.4543e-05,7.8092e+06,1,0.192,50,0.05,0.192
0.75064,1.0394e-21,9.5042e-05,7.8092e+06,1,0.193,50,0.05,0.193
0.75035,1.1266e-21,9.5541e-05,7.8092e+06,1,0.194,50,0.05,0.194
0.75005,1.2137e-21,9.604e-05,7.8092e+06,1,0.195,50,0.05,0.195
0.74973,1.1764e-21,9.6541e-05,7.8092e+06,1,0.196,50,0.05,0.196
0.74941,1.1391e-21,9.7042e-05,7.8092e+06,1,0.197,50,0.05,0.197
0.74908,1.1018e-21,9.7543e-05,7.8092e+06,1,0.198,50,0.05,0.198
0.74876,1.0644e-21,9.8044e-05,7.8092e+06,1,0.199,50,0.05,0.199
0.74843,1.0271e-21,9.8545e-05,7.8092e+06,1,0.2,50,0.05,0.2
0.74811,9.8977e-22,9.9047e-05,7.8092e+06,1,0.201,50,0.05,0.201
0.74778,9.5245e-22,9.9548e-05,7.8092e+06,1,0.202,50,0.05,0.202
0.74746,9.1512e-22,0.00010005,7.8092e+06,1,0.203,50,0.05,0.203
0.74713,8.778e-22,0.00010055,7.8092e+06,1,0.204,50,0.05,0.204
0.74681,8.4047e-22,0.00010105,7.8092e+06,1,0.205,50,0.05,0.205
0.74648,8.0315e-22,0.00010155,7.8092e+06,1,0.206,50,0.05,0.206
0.74616,7.6582e-22,0.00010205,7.8092e+06,1,0.207,50,0.05,0.207
0.74583,7.285e-22,0.00010255,7.8092e+06,1,0.208,50,0.05,0.208
0.74551,6.9117e-22,0.00010306,7.8092e+06,1,0.209,50,0.05,0.209
0.74518,6.5385e-22,0.00010356,7.8092e+06,1,0.21,50,0.05,0.21
0.74486,6.1652e-22,0.00010406,7.8092e+06,1,0.211,50,0.05,0.211
0.74453,5.792e-22,0.00010456,7.8092e+06,1,0.212,50,0.05,0.212
0.74421,5.4187e-22,0.00010506,7.8092e+06,1,0.213,50,0.05,0.213
0.74388,5.0455e-22,0.00010556,7.8092e+06,1,0.214,50,0.05,0.214
0.74354,4.4853e-22,0.00010606,7.8092e+06,1,0.215,50,0.05,0.215
0.74319,3.7383e-22,0.00010657,7.8092e+06,1,0.216,50,0.05,0.216
0.74283,2.9913e-22,0.00010707,7.8092e+06,1,0.217,50,0.05,0.217
0.74248,2.2443e-22,0.00010757,7.8092e+06,1,0.218,50,0.05,0.218
0.74212,1.4973e-22,0.00010808,7.8092e+06,1,0.219,50,0.05,0.219
0.74177,7.5029e-23,0.00010858,7.8092e+06,1,0.22,50,0.05,0.22
0.74141,3.2763e-25,0.00010909,7.8092e+06,1,0.221,50,0.05,0.221
0.74105,-7.4373e-23,0.00010959,7.8092e+06,1,0.222,50,0.05,0.222
0.7407,-1.4907e-22,0.00011009,7.8092e+06,1,0.223,50,0.05,0.223
0.74034,-2.2378e-22,0.0001106,7.8092e+06,1,0.224,50,0.05,0.224
0.73999,-2.9848e-22,0.0001111,7.8092e+06,1,0.225,50,0.05,0.225
0.73963,-3.7318e-22,0.0001116,7.8092e+06,1,0.226,50,0.05,0.226
0.73928,-4.4788e-22,0.00011211,7.8092e+06,1,0.227,50,0.05,0.227
0.73892,-5.2258e-22,0.00011261,7.8092e+06,1,0.228,50,0.05,0.228
0.73857,-5.9728e-22,0.00011311,7.8092e+06,1,0.229,50,0.05,0.229
0.73821,-6.7198e-22,0.00011362,7.8092e+06,1,0.23,50,0.05,0.23
0.73785,-7.4668e-22,0.00011412,7.8092e+06,1,0.231,50,0.05,0.231
0.7375,-8.2138e-22,0.00011463,7.8092e+06,1,0.232,50,0.05,0.232
0.73714,-8.9608e-22,0.00011513,7.8092e+06,1,0.233,50,0.05,0.233
0.73679,-9.7078e-22,0.00011563,7.8092e+06,1,0.234,50,0.05,0.234
0.7364,-9.4587e-22,0.00011614,7.8092e+06,1,0.235,50,0.05,0.235
0.73601,-9.2095e-22,0.00011665,7.8092e+06,1,0.236,50,0.05,0.236
0.73563,-8.9603e-22,0.00011715,7.8092e+06,1,0.237,50,0.05,0.237
0.73524,-8.7112e-22,0.00011766,7.8092e+06,1,0.238,50,0.05,0.238
0.73486,-8.462e-22,0.00011816,7.8092e+06,1,0.239,50,0.05,0.239
0.73447,-8.2128e-22,0.00011867,7.8092e+06,1,0.24,50,0.05,0.24
0.73408,-7.9636e-22,0.00011918,7.8092e+06,1,0.241,50,0.05,0.241
0.7337,-7.7145e-22,0.00011968,7.8092e+06,1,0.242,50,0.05,0.242
0.73331,-7.4653e-22,0.00012019,7.8092e+06,1,0.243,50,0.05,0.243
0.73292,-7.2161e-22,0.0001207,7.8092e+06,1,0.244,50,0.05,0.244
0.73254,-6.967e-22,0.0001212,7.8092e+06,1,0.245,50,0.05,0.245
0.73215,-6.7178e-22,0.00012171,7.8092e+06,1,0.246,50,0.05,0.246
0.73176,-6.4686e-22,0.00012221,7.8092e+06,1,0.247,50,0.05,0.247
0.73138,-6.2194e-22,0.00012272,7.8092e+06,1,0.248,50,0.05,0.248
0.73099,-5.9703e-22,0.00012323,7.8092e+06,1,0.249,50,0.05,0.249
0.73061,-5.7211e-22,0.00012373,7.8092e+06,1,0.25,50,0.05,0.25
0.73022,-5.4719e-22,0.00012424,7.8092e+06,1,0.251,50,0.05,0.251
0.72983,-5.2228e-22,0.00012475,7.8092e+06,1,0.252,50,0.05,0.252
0.72945,-4.9736e-22,0.00012525,7.8092e+06,1,0.253,50,0.05,0.253
0.72904,-4.4758e-22,0.00012576,7.8092e+06,1,0.254,50,0.05,0.254
0.72863,-3.7293e-22,0.00012627,7.8092e+06,1,0.255,50,0.05,0.255
0.72821,-2.9827e-22,0.00012678,7.8092e+06,1,0.256,50,0.05,0.256
0.72779,-2.2362e-22,0.00012729,7.8092e+06,1,0.257,50,0.05,0.257
0.72738,-1.4897e-22,0.0001278,7.8092e+06,1,0.258,50,0.05,0.258
0.72696,-7.4323e-23,0.00012831,7.8092e+06,1,0.259,50,0.05,0.259
0.72654,3.2658e-25,0.00012882,7.8092e+06,1,0.26,50,0.05,0.26
0.72612,7.4978e-23,0.00012933,7.8092e+06,1,0.261,50,0.05,0.261
0.72571,1.4963e-22,0.00012983,7.8092e+06,1,0.262,50,0.05,0.262
