1	5.15	7.02114e+07	-733393	1.49062e-12	21.9352	2.58995	-2.83512e-20	0.00110339	0.00997425
1	5.25	7.0138e+07	-733401	1.48914e-12	29.2536	2.58982	-2.96889e-20	0.00118128	0.00997375
1	5.35	7.00647e+07	-733409	1.48766e-12	35.4563	2.58967	-2.96576e-20	0.00124613	0.00997325
1	5.45	6.99913e+07	-733419	0	40.7094	2.58951	-7.42676e-21	0.0013001	0.00997275
1	5.55	6.9918e+07	-733429	1.48469e-12	45.1554	2.58935	-2.95949e-20	0.00134498	0.00997225
1	5.65	6.98447e+07	-733440	1.48321e-12	48.9164	2.58918	-2.82014e-20	0.00138228	0.00997175
1	5.75	6.97713e+07	-733452	1.48173e-12	52.0968	2.589	-2.95322e-20	0.00141326	0.00997125
1	5.85	6.9698e+07	-733464	1.48024e-12	54.7855	2.58882	-2.95008e-20	0.00143896	0.00997075
1	5.95	6.96246e+07	-733476	0	57.0582	2.58863	-7.38932e-21	0.00146028	0.00997025
1	6.05	6.95513e+07	-733488	1.47727e-12	58.9794	2.58845	-2.94381e-20	0.00147794	0.00996975
1	6.15	6.94779e+07	-733501	1.47579e-12	60.6034	2.58825	-2.80516e-20	0.00149255	0.00996925
1	6.25	6.94046e+07	-733514	1.47431e-12	61.9766	2.58806	-2.93755e-20	0.00150463	0.00996875
1	6.35	6.93312e+07	-733527	1.47282e-12	63.1381	2.58787	-2.93441e-20	0.0015146	0.00996825
1	6.45	6.92579e+07	-733540	0	64.121	2.58767	2.14969e-27	0.00152282	0.00996775
1	6.55	6.91845e+07	-733553	1.46985e-12	64.9532	2.58747	-2.92814e-20	0.00152958	0.00996725
1	6.65	6.91112e+07	-733567	1.46837e-12	65.6582	2.58728	-2.92501e-20	0.00153514	0.00996675
1	6.75	6.90378e+07	-733580	1.46688e-12	66.256	2.58708	-2.92187e-20	0.00153969	0.00996625
1	6.85	6.89644e+07	-733594	1.4654e-12	66.7634	2.58688	-2.78419e-20	0.00154341	0.00996575
1	6.95	6.88911e+07	-733608	-3.16645e-28	67.1943	2.58668	-7.31438e-21	0.00154644	0.00996525
1	7.05	6.88177e+07	-733622	0	67.5608	2.58648	0	0.0015489	0.00996475
1	7.15	6.87444e+07	-733635	1.46094e-12	67.8729	2.58628	-2.90933e-20	0.00155089	0.00996425
1	7.25	6.8671e+07	-733649	1.45946e-12	68.1389	2.58608	-2.9062e-20	0.00155249	0.00996375
1	7.35	6.85976e+07	-733663	1.45797e-12	68.3661	2.58587	-2.76921e-20	0.00155376	0.00996325
1	7.45	6.85243e+07	-733677	0	68.5604	2.58567	-7.27688e-21	0.00155477	0.00996275
1	7.55	6.84509e+07	-733691	1.455e-12	68.7268	2.58547	-2.8968e-20	0.00155557	0.00996225
1	7.65	6.83775e+07	-733705	1.45351e-12	68.8696	2.58527	-2.89366e-20	0.00155618	0.00996175
1	7.75	6.83041e+07	-733719	1.45202e-12	68.9925	2.58507	-2.89053e-20	0.00155665	0.00996125
1	7.85	6.82308e+07	-733733	1.45054e-12	69.0984	2.58486	-2.75423e-20	0.001557	0.00996075
1	7.95	6.81574e+07	-733747	0	69.1898	2.58466	2.11042e-27	0.00155725	0.00996025
1	8.05	6.8084e+07	-733761	0	69.2691	2.58446	-7.23185e-21	0.00155742	0.00995975
1	8.15	6.80106e+07	-733775	0	69.3379	2.58426	-7.22435e-21	0.00155753	0.00995925
1	8.25	6.79373e+07	-733789	0	69.3979	2.58406	0	0.00155758	0.00995875
1	8.35	6.78639e+07	-733803	0	69.4503	2.58385	-5.8846e-21	0.00155759	0.00995825
1	8.45	6.77905e+07	-733817	0	69.4962	2.58365	-7.20182e-21	0.00155757	0.00995775
1	8.55	6.77171e+07	-733831	0	69.5366	2.58345	0	0.00155752	0.00995725
1	8.65	6.76437e+07	-733845	0	69.5723	2.58325	-7.1868e-21	0.00155745	0.00995675
1	8.75	6.75704e+07	-733859	0	69.6039	2.58304	0	0.00155736	0.00995625
1	8.85	6.7497e+07	-733873	0	69.632	2.58284	-7.17178e-21	0.00155726	0.00995575
1	8.95	6.74236e+07	-733888	0	69.6571	2.58264	-7.16426e-21	0.00155715	0.00995525
1	9.05	6.73502e+07	-733902	0	69.6796	2.58244	1.31502e-21	0.00155703	0.00995475
1	9.15	6.72768e+07	-733916	0	69.6998	2.58223	-7.14923e-21	0.00155691	0.00995425
1	9.25	6.72034e+07	-733930	0	69.7181	2.58203	0	0.00155678	0.00995375
1	9.35	6.713e+07	-733944	0	69.7346	2.58183	2.07392e-27	0.00155665	0.00995325
1	9.45	6.70566e+07	-733958	0	69.7496	2.58163	-7.12669e-21	0.00155651	0.00995275
1	9.55	6.69832e+07	-733972	0	69.7633	2.58143	-5.81108e-21	0.00155638	0.00995225
1	9.65	6.69098e+07	-733987	0	69.7759	2.58122	2.06612e-27	0.00155624	0.00995175
1	9.75	6.68364e+07	-734001	0	69.7874	2.58102	0	0.0015561	0.00995125
1	9.85	6.6763e+07	-734015	0	69.798	2.58082	-7.09661e-21	0.00155597	0.00995075
1	9.95	6.66896e+07	-734029	0	69.8079	2.58062	2.05832e-27	0.00155583	0.00995025
1	10.05	6.66162e+07	-734043	0	69.817	2.58041	-5.78042e-21	0.00155569	0.00994975
1	10.15	6.65428e+07	-734057	0	69.8255	2.58021	-7.07405e-21	0.00155556	0.00994925
1	10.25	6.64694e+07	-734072	0	69.8334	2.58001	0	0.00155542	0.00994875
1	10.35	6.6396e+07	-734086	0	69.8409	2.57981	-7.059e-21	0.00155529	0.00994825
1	10.45	6.63226e+07	-734100	0	69.8479	2.57961	-7.05147e-21	0.00155515	0.00994775
1	10.55	6.62492e+07	-734114	0	69.8545	2.5794	2.04275e-27	0.00155502	0.00994725
1	10.65	6.61758e+07	-734128	0	69.8607	2.5792	-7.03642e-21	0.00155488	0.00994675
1	10.75	6.61024e+07	-734142	0	69.8666	2.579	-2.03756e-27	0.00155475	0.00994625
1	10.85	6.60289e+07	-734157	0	69.8722	2.5788	2.03497e-27	0.00155461	0.00994575
1	10.95	6.59555e+07	-734171	0	69.8776	2.57859	-7.01384e-21	0.00155448	0.00994525
1	11.05	6.58821e+07	-734185	1.40286e-12	69.8827	2.57839	-3.48772e-20	0.00155435	0.00994475
1	11.15	6.58087e+07	-734199	0	69.8876	2.57819	0	0.00155421	0.00994425
1	11.25	6.57353e+07	-734213	0	69.8924	2.57799	1.28448e-21	0.00155408	0.00994375
1	11.35	6.56618e+07	-734227	0	69.8969	2.57779	-6.98372e-21	0.00155395	0.00994325
1	11.45	6.55884e+07	-734241	0	69.9013	2.57758	2.01943e-27	0.00155382	0.00994275
1	11.55	6.5515e+07	-734256	0	69.9056	2.57738	-6.96865e-21	0.00155368	0.00994225
